"AX2"	"AX3"	"AX4"	"AX5"	"DPS1"	"DPS2"	"DPS3"	"DPS4"	"DPS5"	"DVM1"	"DVM2"	"DVM4"	"DVM5"	"DVM6"
"Sro256_g100540.1"	14	2	37	16	18	4	2	3	6	0	5	4	1	5
"Sro256_g100550.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro256_g100550.2"	0	1	0	0	0	1	1	0	0	0	0	0	0	8
"Sro256_g100560.1"	12	2	8	28	16	5	6	0	8	0	0	5	4	0
"Sro256_g100570.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro256_g100580.1"	151	60	252	453	165	140	80	128	209	44	89	43	39	214
"Sro256_g100590.1"	3	1	8	16	8	3	14	0	11	0	8	0	1	0
"Sro256_g100600.1"	15	13	100	48	12	7	7	5	2	0	0	2	4	15
"Sro256_g100610.1"	0	0	0	0	0	0	0	2	4	0	0	0	0	0
"Sro256_g100620.1"	0	2	3	0	0	0	4	0	0	4	1	0	0	0
"Sro256_g100620.2"	0	0	0	0	0	6	0	0	1	0	0	0	0	0
"Sro256_g100620.3"	20	0	0	5	0	2	0	0	7	0	0	0	0	0
"Sro256_g100630.1"	24	20	49	39	21	6	11	12	18	8	0	8	4	19
"Sro256_g100640.1"	3	1	10	12	12	19	10	0	4	0	0	0	0	9
"Sro256_g100650.1"	0	8	28	27	1	0	0	4	4	0	1	0	0	28
"Sro256_g100660.1"	240	123	437	438	308	112	82	168	294	50	106	42	43	208
"Sro256_g100670.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro256_g100670.2"	0	0	0	0	0	0	0	0	0	0	0	0	0	3
"Sro256_g100680.1"	148	117	138	418	236	220	91	84	251	9	114	49	69	327
"Sro256_g100690.1"	70	35	122	95	111	85	38	36	60	4	19	18	26	87
"Sro256_g100700.1"	16	0	7	35	12	0	0	0	19	5	5	0	1	7
"Sro256_g100710.1"	21	13	42	18	0	36	1	17	8	4	2	11	0	40
"Sro256_g100720.1"	5	1	10	19	3	8	2	8	10	0	0	0	0	14
"Sro256_g100730.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro256_g100740.1"	31	38	47	100	62	21	19	24	31	0	11	12	13	67
"Sro256_g100750.1"	28	55	89	82	31	41	9	31	49	7	2	12	2	6
"Sro256_g100760.1"	32	12	32	24	49	4	8	23	22	1	4	4	0	2
"Sro256_g100770.1"	38	13	77	43	19	10	2	7	15	5	4	9	12	1
"Sro2570_g331520.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro2570_g331530.1"	19	1	0	6	0	6	0	0	0	0	0	0	0	11
"Sro2570_g331540.1"	300	159	580	299	52	104	45	111	127	22	64	50	54	48
"Sro2570_g331550.1"	3	0	10	3	0	1	0	0	3	0	0	0	0	0
"Sro2571_g331560.1"	15	0	0	3	14	0	0	5	2	0	15	10	7	37
"Sro2571_g331570.1"	9	0	0	14	0	0	2	0	6	0	7	0	0	11
"Sro2571_g331570.2"	0	1	8	0	0	0	0	0	0	0	0	0	0	0
"Sro2571_g331580.1"	75	39	79	127	87	63	31	63	73	12	8	11	12	39
"Sro2571_g331581.1"	0	4	0	0	1	0	0	0	0	0	0	2	0	0
"Sro2571_g331590.1"	4	4	6	9	14	2	0	7	6	0	11	2	2	7
"Sro2572_g331600.1"	90	70	173	258	200	9	7	24	56	12	25	12	15	12
"Sro2572_g331610.1"	2	0	4	1	2	5	0	4	6	0	0	0	0	0
"Sro2572_g331620.1"	26	8	96	51	19	13	3	6	11	0	5	0	3	23
"Sro2572_g331630.1"	0	0	0	3	0	0	0	0	0	0	0	0	0	0
"Sro2572_g331640.1"	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro2572_g331650.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro2572_g331660.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro2573_g331670.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro2573_g331680.1"	6	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro2573_g331690.1"	0	1	8	5	5	0	0	0	0	0	0	0	0	1
"Sro2573_g331700.1"	3	1	4	7	2	9	0	0	0	0	0	0	0	1
"Sro2573_g331710.1"	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"Sro2575_g331720.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro2576_g331730.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro2576_g331731.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro2576_g331740.1"	15	0	0	35	21	11	6	8	32	38	20	12	4	79
"Sro2576_g331750.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro2576_g331760.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro2576_g331770.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro2577_g331780.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro2577_g331790.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro2579_g331800.1"	57	18	112	108	2	29	3	27	33	0	16	6	7	45
"Sro2579_g331810.1"	4	2	2	16	0	0	2	0	0	0	0	0	0	2
"Sro257_g100780.1"	94	45	134	199	151	172	71	45	131	53	70	44	31	103
"Sro257_g100790.1"	9	14	1	17	0	5	3	5	11	0	3	0	0	7
"Sro257_g100800.1"	0	0	0	1	1	0	2	10	11	1	0	0	0	2
"Sro257_g100810.1"	0	0	0	4	2	4	0	2	2	0	3	0	0	0
"Sro257_g100820.1"	133	135	160	391	168	115	149	126	388	7	144	96	25	179
"Sro257_g100830.1"	0	1	0	2	16	0	5	6	26	8	1	0	0	36
"Sro257_g100831.1"	0	0	0	5	4	0	0	1	0	0	0	3	0	3
"Sro257_g100831.2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro257_g100840.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro257_g100850.1"	6	3	48	57	4	5	1	0	32	0	13	0	0	5
"Sro257_g100851.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro257_g100860.1"	108	64	253	356	163	107	112	124	226	11	73	67	53	113
"Sro257_g100870.1"	3	3	5	6	6	0	0	1	6	0	2	1	0	5
"Sro257_g100880.1"	0	12	27	6	3	9	6	0	3	0	0	0	2	0
"Sro257_g100890.1"	0	7	0	7	10	5	18	2	10	0	8	6	0	26
"Sro257_g100900.1"	0	3	0	6	0	9	0	0	0	0	0	0	0	2
"Sro257_g100901.1"	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"Sro257_g100910.1"	0	5	18	16	0	3	0	5	9	0	0	0	0	0
"Sro257_g100920.1"	2	6	16	0	3	4	3	3	5	0	5	0	1	3
"Sro257_g100930.1"	3	0	0	13	1	4	1	0	10	0	0	4	0	3
"Sro257_g100931.1"	5	16	18	30	18	10	12	9	16	0	0	4	3	7
"Sro257_g100940.1"	2	0	0	4	1	0	1	0	1	0	0	0	0	0
"Sro257_g100950.1"	17	0	6	24	11	10	0	15	7	8	5	3	0	33
"Sro257_g100960.1"	13	2	5	3	12	11	1	3	6	33	5	1	6	17
"Sro257_g100970.1"	7	0	12	1	0	0	0	0	0	0	0	2	0	6
"Sro257_g100980.1"	4	3	10	28	0	12	6	0	9	0	8	3	0	15
"Sro257_g100990.1"	7	2	4	14	11	15	4	2	4	0	10	6	0	4
"Sro257_g101000.1"	5	6	12	9	5	3	5	4	4	0	0	0	0	1
"Sro257_g101010.1"	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"Sro2580_g331820.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro2580_g331830.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro2580_g331840.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro2580_g331850.1"	7	7	1	21	8	0	1	3	2	0	0	1	1	9
"Sro2582_g331860.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro2582_g331870.1"	0	0	0	0	8	0	0	0	0	0	0	0	0	0
"Sro2582_g331870.2"	0	0	0	9	0	0	0	0	0	0	0	0	0	0
"Sro2582_g331880.1"	0	1	0	2	0	0	0	0	3	0	0	0	0	0
"Sro2583_g331881.1"	0	1	0	3	0	0	0	0	0	0	0	2	0	0
"Sro2584_g331882.1"	6	23	40	107	0	2	2	5	34	0	9	0	3	15
"Sro2585_g331890.1"	91	229	316	681	449	263	76	174	397	52	203	104	70	477
"Sro2585_g331900.1"	78	53	141	143	73	19	18	12	67	5	14	11	2	31
"Sro2585_g331910.1"	2	1	0	12	0	5	0	0	3	0	3	2	0	1
"Sro2585_g331920.1"	0	0	0	0	0	0	0	0	0	0	9	0	3	0
"Sro2585_g331920.2"	9	17	15	86	10	25	9	17	47	0	17	0	8	26
"Sro2587_g331930.1"	15	2	26	43	31	18	7	14	18	3	19	5	4	21
"Sro2587_g331940.1"	4	0	5	1	2	3	0	1	0	0	0	0	2	2
"Sro2587_g331950.1"	10	8	28	51	9	14	4	3	14	0	0	0	2	7
"Sro2588_g331960.1"	0	0	0	0	0	0	0	0	0	5	0	0	0	14
"Sro2588_g331970.1"	13	14	26	14	16	0	0	0	11	0	0	0	0	3
"Sro2588_g331980.1"	4	1	8	2	1	0	3	0	0	3	0	0	0	0
"Sro2588_g331990.1"	0	2	11	4	0	0	0	0	6	7	0	7	0	2
"Sro2588_g332000.1"	19	7	43	33	18	8	2	8	16	0	0	0	0	13
"Sro2588_g332010.1"	22	31	42	64	30	19	25	10	38	4	10	2	0	30
"Sro2588_g332020.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro2589_g332030.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro2589_g332040.1"	6	4	4	5	0	0	0	1	5	0	0	0	0	3
"Sro258_g101020.1"	0	0	0	0	0	0	0	0	0	0	0	0	3	0
"Sro258_g101030.1"	0	0	0	48	10	29	0	18	26	0	43	0	0	62
"Sro258_g101050.1"	0	0	12	4	5	1	0	2	10	0	0	0	0	2
"Sro258_g101060.1"	375	342	688	1791	602	381	427	386	896	239	566	161	135	1250
"Sro258_g101070.1"	4	5	31	104	8	4	0	0	0	5	0	0	0	6
"Sro258_g101080.1"	18	5	40	20	28	0	1	1	18	0	1	2	1	12
"Sro258_g101090.1"	33	16	39	8	5	3	9	4	9	7	0	2	0	10
"Sro258_g101100.1"	94	85	256	417	266	171	149	144	294	110	297	53	54	383
"Sro258_g101101.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro258_g101110.1"	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"Sro258_g101111.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro258_g101111.2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro258_g101120.1"	132	74	188	495	298	148	113	168	327	50	146	89	66	421
"Sro258_g101130.1"	185	84	184	379	213	116	72	74	192	9	58	46	45	112
"Sro258_g101140.1"	225	135	404	787	526	399	227	294	438	94	324	66	46	637
"Sro258_g101141.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro258_g101150.1"	2	5	2	1	0	0	0	1	1	0	0	0	5	4
"Sro258_g101160.1"	18	12	48	99	68	47	22	18	70	1	16	20	12	76
"Sro258_g101170.1"	65	57	209	220	71	107	78	53	129	23	81	24	7	123
"Sro258_g101180.1"	1	18	6	97	17	34	18	6	20	10	66	21	7	128
"Sro258_g101190.1"	11	7	19	44	0	0	1	12	27	5	2	0	2	21
"Sro258_g101200.1"	39	17	64	58	60	15	32	20	35	20	15	10	27	37
"Sro2591_g332050.1"	0	4	12	5	6	1	0	6	0	2	0	6	0	5
"Sro2592_g332060.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro2592_g332070.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro2592_g332080.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro2593_g332090.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro2594_g332100.1"	0	3	21	10	2	9	2	10	17	0	0	0	3	0
"Sro2594_g332110.1"	0	2	5	2	8	1	5	0	8	0	0	0	0	0
"Sro2595_g332120.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro2595_g332130.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro2597_g332140.1"	0	9	12	5	27	12	0	0	11	0	7	0	0	7
"Sro2597_g332150.1"	0	0	0	0	0	0	5	0	0	3	0	0	0	0
"Sro2597_g332160.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro2597_g332170.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro2597_g332180.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro2597_g332190.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro2597_g332200.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro2598_g332210.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro2598_g332220.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro2598_g332230.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro2599_g332240.1"	5	8	10	6	3	13	0	4	0	0	0	2	0	4
"Sro2599_g332250.1"	8	10	17	23	17	5	1	14	12	2	5	5	8	23
"Sro2599_g332260.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro2599_g332270.1"	12	1	18	12	9	4	8	4	22	7	8	3	0	25
"Sro2599_g332280.1"	0	0	18	34	38	7	3	0	6	0	14	0	0	0
"Sro2599_g332280.2"	19	8	0	0	0	0	0	11	0	9	0	7	3	34
"Sro259_g101210.1"	244	141	350	411	150	127	73	167	255	64	54	68	52	173
"Sro259_g101220.1"	18	14	31	12	10	7	0	3	1	0	12	3	4	21
"Sro259_g101230.1"	0	2	0	2	0	0	0	1	0	0	0	0	0	0
"Sro259_g101240.1"	70	61	80	169	111	68	31	36	95	27	59	13	26	60
"Sro259_g101250.1"	0	0	0	0	21	15	0	0	17	0	0	12	0	20
"Sro259_g101250.2"	0	4	39	14	39	18	3	20	0	14	0	0	0	20
"Sro259_g101260.1"	20	18	15	16	29	3	2	3	7	3	2	2	0	13
"Sro259_g101270.1"	14	21	48	13	50	41	12	34	24	19	17	4	0	28
"Sro259_g101280.1"	11	11	7	37	21	6	0	0	12	0	0	0	1	0
"Sro259_g101290.1"	13	5	0	4	31	2	5	5	4	6	0	6	0	0
"Sro259_g101300.1"	27	13	49	21	17	7	5	5	2	10	3	4	11	0
"Sro259_g101310.1"	1	0	7	8	2	2	0	0	0	0	0	0	0	0
"Sro259_g101320.1"	24	9	33	61	43	43	16	38	75	8	30	15	11	58
"Sro259_g101330.1"	4	1	0	22	0	0	6	0	6	3	4	0	0	6
"Sro259_g101340.1"	2	0	0	4	0	0	0	0	3	0	0	3	0	0
"Sro259_g101350.1"	124	50	146	257	123	77	26	84	201	4	45	51	16	82
"Sro259_g101360.1"	1	1	0	3	1	1	2	0	0	0	0	0	1	0
"Sro259_g101370.1"	60	81	212	321	84	107	30	41	151	17	73	60	39	91
"Sro259_g101380.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro259_g101390.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro259_g101400.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro259_g101410.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro259_g101420.1"	0	0	0	2	0	0	0	1	2	0	0	1	0	2
"Sro259_g101430.1"	124	166	437	601	214	198	23	96	273	30	120	49	38	281
"Sro259_g101440.1"	242	216	576	857	302	368	58	100	538	90	205	102	76	255
"Sro259_g101450.1"	81	18	177	176	94	47	35	55	75	9	31	11	26	59
"Sro259_g101460.1"	9	3	11	7	0	5	6	2	3	0	0	0	6	6
"Sro259_g101461.1"	4	4	15	2	6	9	0	1	11	0	0	0	0	4
"Sro259_g101470.1"	33	16	39	16	14	28	3	20	13	4	23	1	6	20
"Sro259_g101480.1"	35	34	75	136	37	46	9	25	56	0	24	1	14	127
"Sro259_g101490.1"	13	4	5	55	1	17	6	3	0	13	11	8	0	55
"Sro25_g016690.1"	9	0	0	2	0	9	1	2	0	0	0	0	5	0
"Sro25_g016700.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro25_g016710.1"	2	0	0	10	0	1	0	5	3	0	0	2	2	0
"Sro25_g016720.1"	4	5	0	7	1	3	0	7	5	3	4	0	0	7
"Sro25_g016730.1"	304	117	333	424	156	109	108	132	339	39	93	34	29	159
"Sro25_g016740.1"	28	19	58	71	19	26	24	10	18	1	11	0	0	47
"Sro25_g016750.1"	19	9	6	33	26	15	3	5	4	0	0	6	5	2
"Sro25_g016760.1"	7	3	36	13	29	4	2	6	18	0	4	1	13	19
"Sro25_g016770.1"	32	10	75	76	44	26	23	19	51	16	27	4	0	20
"Sro25_g016780.1"	2	0	5	8	0	2	0	0	0	0	0	0	0	2
"Sro25_g016790.1"	7	5	7	14	16	0	6	0	18	0	5	1	7	0
"Sro25_g016800.1"	14	5	8	30	7	8	3	9	13	0	2	3	0	9
"Sro25_g016810.1"	45	17	74	140	23	28	8	25	55	13	21	1	6	45
"Sro25_g016820.1"	33	23	62	64	12	24	26	18	41	4	8	13	4	38
"Sro25_g016821.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"Sro25_g016830.1"	39	17	52	68	25	24	21	17	41	0	8	1	5	29
"Sro25_g016840.1"	15	0	0	10	3	0	3	6	12	4	0	4	0	8
"Sro25_g016850.1"	2	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro25_g016860.1"	1	0	0	3	4	0	0	0	7	0	0	0	0	0
"Sro25_g016870.1"	29	34	18	63	61	28	12	29	39	14	7	7	19	31
"Sro25_g016880.1"	10	5	26	17	7	0	0	5	8	0	12	5	0	3
"Sro25_g016890.1"	39	4	11	58	22	48	11	21	34	3	3	0	13	50
"Sro25_g016900.1"	135	207	387	749	461	361	176	211	266	74	101	99	57	570
"Sro25_g016910.1"	14	6	9	22	4	3	2	17	29	7	5	0	2	5
"Sro25_g016920.1"	59	32	135	79	59	63	13	27	27	11	33	13	7	38
"Sro25_g016930.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro25_g016940.1"	50	49	98	61	19	36	17	12	51	0	10	6	3	18
"Sro25_g016950.1"	4	0	0	1	0	0	0	2	3	1	6	0	0	3
"Sro25_g016960.1"	8	4	16	12	30	8	0	4	14	0	4	3	0	5
"Sro25_g016970.1"	11	8	50	39	66	29	9	10	34	4	14	0	10	18
"Sro25_g016980.1"	22	17	68	34	25	25	14	5	31	0	25	9	6	20
"Sro25_g016990.1"	0	0	2	2	1	12	3	2	0	0	4	2	4	8
"Sro25_g017000.1"	0	8	0	22	2	10	3	2	5	3	0	2	2	0
"Sro25_g017010.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro25_g017020.1"	13	1	0	4	6	5	3	3	2	0	0	0	3	0
"Sro25_g017030.1"	12	16	48	37	18	18	14	10	4	0	3	9	22	25
"Sro25_g017040.1"	8	0	0	6	1	0	0	0	3	0	0	0	0	0
"Sro25_g017050.1"	0	2	0	0	0	0	0	0	0	0	0	0	0	1
"Sro25_g017060.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	6
"Sro25_g017070.1"	103	73	156	188	76	51	41	56	84	19	76	32	5	56
"Sro25_g017080.1"	0	0	0	3	0	0	5	0	15	0	0	0	0	0
"Sro25_g017090.1"	0	8	44	20	2	0	13	2	30	2	14	3	8	16
"Sro25_g017100.1"	4	6	4	24	6	7	1	9	2	0	0	1	0	1
"Sro25_g017110.1"	0	3	0	12	0	2	1	5	8	0	3	0	0	4
"Sro25_g017120.1"	0	5	0	4	1	0	3	0	0	0	0	0	0	0
"Sro25_g017130.1"	15	7	17	11	8	5	14	5	23	0	0	16	0	0
"Sro25_g017140.1"	0	2	0	2	0	12	0	0	8	0	0	0	0	2
"Sro25_g017150.1"	8	0	12	11	0	1	0	0	0	0	0	0	1	1
"Sro25_g017160.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro25_g017170.1"	11	18	2	21	23	16	8	6	19	3	9	5	10	13
"Sro25_g017180.1"	0	4	6	13	39	9	0	1	6	0	0	3	0	1
"Sro25_g017190.1"	0	2	12	12	3	0	0	1	0	0	0	0	0	0
"Sro25_g017200.1"	82	36	86	98	46	34	15	24	28	0	5	5	20	11
"Sro25_g017210.1"	11	0	0	2	6	2	0	2	0	0	0	0	0	3
"Sro25_g017210.2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro25_g017220.1"	7	2	13	4	16	9	0	0	1	1	0	2	0	2
"Sro25_g017230.1"	16	9	51	26	25	11	10	20	18	6	3	0	4	6
"Sro25_g017240.1"	5	8	31	8	1	9	6	11	3	0	0	3	3	10
"Sro25_g017250.1"	1	4	0	0	0	0	0	0	0	0	0	0	0	0
"Sro25_g017260.1"	10	1	22	28	0	20	3	9	4	0	11	0	0	7
"Sro25_g017270.1"	62	32	54	95	29	38	7	15	51	16	15	1	11	21
"Sro25_g017280.1"	5	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro25_g017290.1"	0	0	12	8	0	4	0	0	0	0	0	0	0	1
"Sro25_g017300.1"	70	50	108	153	46	80	31	31	75	15	40	11	11	74
"Sro25_g017310.1"	30	18	34	15	11	0	0	2	2	0	1	5	0	0
"Sro25_g017320.1"	33	14	25	17	6	5	0	4	11	0	2	1	0	2
"Sro25_g017330.1"	6	7	19	21	0	4	2	2	1	20	12	0	0	10
"Sro25_g017340.1"	3	0	12	6	19	4	0	0	0	3	7	1	0	5
"Sro25_g017350.1"	0	4	0	0	0	0	0	0	0	0	0	0	0	0
"Sro25_g017360.1"	2	2	7	13	18	21	4	3	4	0	6	0	2	19
"Sro25_g017370.1"	10	0	20	7	12	10	3	0	6	0	0	0	0	0
"Sro25_g017380.1"	6	2	0	17	4	5	0	0	0	0	0	0	0	6
"Sro25_g017390.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro2600_g332290.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro2600_g332300.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro2601_g332310.1"	17	25	17	17	12	3	1	6	22	0	3	1	1	7
"Sro2601_g332320.1"	0	0	1	2	0	0	0	0	1	1	0	0	0	0
"Sro2601_g332330.1"	2	0	3	5	0	0	0	0	4	0	0	0	0	0
"Sro2601_g332340.1"	13	16	34	16	5	7	2	0	0	0	0	0	4	18
"Sro2601_g332350.1"	0	0	0	0	8	11	0	0	4	0	1	2	0	5
"Sro2601_g332360.1"	0	0	5	0	0	0	0	0	0	0	0	0	0	0
"Sro2601_g332370.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro2603_g332380.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro2604_g332390.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro2605_g332400.1"	1	1	19	2	5	0	2	3	0	0	3	0	0	5
"Sro2605_g332410.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro2605_g332420.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro2605_g332430.1"	1	0	13	11	0	0	0	0	11	0	0	0	0	0
"Sro2607_g332440.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro2607_g332450.1"	21	7	10	29	34	17	4	13	41	12	12	2	12	15
"Sro2608_g332460.1"	2	0	5	1	0	0	0	1	7	0	1	0	0	0
"Sro2608_g332470.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro2609_g332480.1"	51	34	49	61	101	29	43	28	71	6	24	14	14	35
"Sro2609_g332490.1"	34	25	84	75	111	69	31	42	88	15	52	25	34	28
"Sro2609_g332500.1"	0	0	0	0	0	0	0	0	2	0	0	0	0	0
"Sro2609_g332510.1"	8	12	24	6	0	10	1	2	5	0	3	0	0	0
"Sro260_g101500.1"	367	284	659	1308	648	658	219	348	731	127	292	306	161	711
"Sro260_g101510.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro260_g101520.1"	1	0	0	0	4	0	0	0	7	0	3	0	0	4
"Sro260_g101530.1"	40	17	53	67	16	18	29	8	24	5	7	10	3	42
"Sro260_g101540.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro260_g101550.1"	25	14	65	43	36	26	15	33	23	2	4	0	9	22
"Sro260_g101560.1"	0	0	1	3	0	0	0	0	0	0	0	0	0	0
"Sro260_g101570.1"	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"Sro260_g101580.1"	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"Sro260_g101590.1"	0	4	0	0	0	0	0	0	0	0	6	0	0	4
"Sro260_g101600.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro260_g101610.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro260_g101620.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro260_g101630.1"	0	0	0	0	0	0	4	0	0	0	0	0	0	0
"Sro260_g101640.1"	25	11	32	55	14	0	7	1	12	1	7	11	5	0
"Sro260_g101650.1"	5	8	11	3	13	2	2	0	5	0	1	5	0	8
"Sro260_g101651.1"	0	0	0	3	0	0	0	0	0	0	0	0	0	0
"Sro260_g101660.1"	89	50	122	115	86	41	225	33	45	38	30	26	22	182
"Sro260_g101670.1"	5	7	12	7	4	2	0	6	6	0	0	0	2	2
"Sro260_g101680.1"	0	7	0	7	13	2	0	1	10	0	6	3	0	6
"Sro260_g101681.1"	119	84	217	245	278	147	58	142	179	57	66	64	69	217
"Sro2610_g332520.1"	1	3	0	0	4	0	2	0	0	0	0	0	0	0
"Sro2610_g332530.1"	8	14	0	13	3	1	1	1	9	8	0	0	0	8
"Sro2610_g332540.1"	0	0	5	0	0	3	0	9	0	2	0	1	0	4
"Sro2611_g332550.1"	8	2	43	30	3	4	4	13	5	7	9	3	1	11
"Sro2611_g332560.1"	31	23	44	66	20	19	6	6	22	4	6	2	2	22
"Sro2611_g332570.1"	26	24	23	45	38	15	5	8	24	1	6	7	7	20
"Sro2611_g332580.1"	4	1	0	0	9	0	0	0	1	0	0	0	0	1
"Sro2612_g332590.1"	46	52	100	142	22	33	14	34	31	16	19	14	5	54
"Sro2612_g332591.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro2612_g332600.1"	0	0	0	1	7	0	0	0	0	0	0	0	0	0
"Sro2612_g332610.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro2612_g332610.2"	10	1	0	26	0	0	0	0	9	0	0	0	0	6
"Sro2612_g332620.1"	3	9	20	8	15	3	5	8	5	0	0	0	2	3
"Sro2613_g332630.1"	38	28	75	89	47	31	22	23	41	14	16	7	3	56
"Sro2614_g332640.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro2614_g332650.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro2614_g332660.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro2614_g332670.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro2615_g332680.1"	0	8	0	16	2	7	7	0	9	0	0	0	2	7
"Sro2615_g332690.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro2615_g332700.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro2615_g332710.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sro2616_g332720.1"	7	10	21	28	13	0	1	8	11	0	8	1	4	17
